unit_index,kind,name,source_path,source_sha256,oracle_compile,oracle_run,oracle_exit,candidate_prepare,candidate_run,candidate_exit,raw_stdout,canonical_stdout,generated_files,exit_status,verdict_counts,final_classification,reason_code,nondeterministic,first_failure_line
458,"COBOL","SQ220A","SQ220A.cob",99120182bb985cceaa49d8ac35800f7306e5259d16133569f5b5ff4623c3122e,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000450')"
459,"COBOL","SQ221A","SQ221A.cob",c3fe61909f73706fdf1c2b1d5085093f2c4ed686c96eb9462e6fe9a5a2db8486,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000450')"
460,"COBOL","SQ222A","SQ222A.cob",2f90c80850ffad182b350df45e74bf3a29a34ae83de83da6b62449c6c7b6df22,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000450')"
461,"COBOL","SQ223A","SQ223A.cob",120198f7698f31c851c1c2015f07d2216d3e3ab0197a841458461967fb263ade,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file RAW-DATA ('000450')"
462,"COBOL","SQ224A","SQ224A.cob",5d422ac01406f486fa61771b41f47cc13a47e2851848dd005333231a668c8a8b,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_VERB_READ_REC",no,"cobrun: unsupported: verb READ-REC-1"
463,"COBOL","SQ225A","SQ225A.cob",049c065b8341bee4631f0167d7610c913c5f7c21864b0cb0571ef53926a7e2c7,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","mismatch",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
464,"COBOL","SQ226A","SQ226A.cob",949ba86d6bd0cdbf57cde443269297a53ed1c378f4270caddc738bf69b015b5c,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_NUMBER",no,"cobrun: undefined data name: XRECORD-NUMBER(1)"
465,"COBOL","SQ227A","SQ227A.cob",cbac9259b78f0ece605a604a6dd3365adb1f018e874845a48e437719221211b9,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_NUMBER",no,"cobrun: undefined data name: XRECORD-NUMBER(1)"
466,"COBOL","SQ228A","SQ228A.cob",548e8f6ee16701bacf0303e165eee5b3cca615b30e16f22058c9c97593efb5b6,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_NUMBER",no,"cobrun: undefined data name: XRECORD-NUMBER(1)"
467,"COBOL","SQ229A","SQ229A.cob",c9e2a4571aef8eee1eb808c8ba3a2869f70d0865a9d38e95d7ffad8110896743,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
468,"COBOL","SQ230A","SQ230A.cob",098916eb24dc839fff03916812bb82320ccfb59c5b57b3c114f90dd24e4e548c,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_NOT_NUMERIC_LITERAL_FILE_RECORD_INFO",no,"cobrun: unsupported: not a numeric literal: FILE-RECORD-INFO-P1-120(1)"
469,"COBOL","SQ302M","SQ302M.cob",cbfaa4b75c9de1b5a414e228c4ffb019655c11907bbe345aa94291f7403d7868,"pass","pass",0,"accepted","pass",0,"match","match","match","match","not_comparable",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
470,"COBOL","SQ303M","SQ303M.cob",71fa8d9d8a0f41fbac2e8439ceea19abfe65103e43dcff45fcbf30d4a118cb39,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: file does not exist (status = 35) for file TFIL ('XXXXX014')"
471,"COBOL","SQ401M","SQ401M.cob",579570f9bca231b42fc9adc76852d656b24f622332762dcd33b568180f6f27ec,"pass","fail",1,"reject-unsupported","not-run",2,"","","","","",ORACLE_RUN_FAIL,"ORACLE_RUN_NONZERO_EXIT",no,"libcob: error: unknown file error (status = 38) for file TFIL ('XXXXX002')"
472,"COBOL","ST101A","ST101A.cob",171dbfa4303bc3ae7a1e7173b4cb3cfd8a15121d9f70a02680780c82599f74f2,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_SORT_MERGE_KEY_KEY_NOT_FIELD",no,"cobrun: unsupported: SORT/MERGE KEY `KEY-1` is not a field of the sort record"
473,"COBOL","ST102A","ST102A.cob",3545b18cad6e1cf05ee1fbf7f62a16569863f9be9f38426eccfeefec4be3694b,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
474,"COBOL","ST103A","ST103A.cob",b9bcfbdc1c8640c3c280a1dd2006844ed6db6f42ad26197be1f91b9acf6293f1,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
475,"COBOL","ST104A","ST104A.cob",d94d293e641ff8796bd6f9d61d928349706d07b8ed7f499e86f9db2b15560e81,"pass","pass",0,"accepted","pass",0,"match","match","match","match","match",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
