test_id,number,title,group,pattern,failing_command,classification,reason
0821,821,"run_misc.at:12226: 821. OPTIONS paragraph, DEFAULT ROUNDED MODE",run_misc.at:12226,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0823,823,run_misc.at:12357: 823. ZERO unsigned and negative binary subscript,run_misc.at:12357,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0824,824,run_misc.at:12434: 824. Default Arithmetic (1),run_misc.at:12434,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0828,828,run_misc.at:12763: 828. SET CONSTANT directive,run_misc.at:12763,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0831,831,run_misc.at:12998: 831. 78 VALUE,run_misc.at:12998,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0832,832,run_misc.at:13066: 832. 01 CONSTANT,run_misc.at:13066,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0834,834,run_misc.at:13248: 834. FLOAT-DECIMAL w/o SIZE ERROR,run_misc.at:13248,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0835,835,run_misc.at:13422: 835. FLOAT-SHORT / FLOAT-LONG w/o SIZE ERROR,run_misc.at:13422,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0836,836,run_misc.at:13621: 836. FLOAT-SHORT with SIZE ERROR,run_misc.at:13621,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0837,837,run_misc.at:13672: 837. FLOAT-LONG with SIZE ERROR,run_misc.at:13672,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0838,838,run_misc.at:13730: 838. EC-SIZE-ZERO-DIVIDE,run_misc.at:13730,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0839,839,run_misc.at:13773: 839. EC-SIZE-OVERFLOW,run_misc.at:13773,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0842,842,run_misc.at:13983: 842. runtime checks within conditions,run_misc.at:13983,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0845,845,run_misc.at:14292: 845. libcob version check,run_misc.at:14292,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
0846,846,run_misc.at:14397: 846. assorted math,run_misc.at:14397,COBCRUN_DIRECT ./prog (launcher run),$COBCRUN_DIRECT ./prog,CANDIDATE_MODULE_MODEL_UNSUPPORTED,module build/run not supported by the candidate model: $COBCRUN_DIRECT ./prog
