diagnostic,phase,count,example_test_id
cobrun: unsupported: FUNCTION MODULE-PATH: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1051
cobrun: unsupported: FUNCTION MONETARY-DECIMAL-POINT: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1054
cobrun: unsupported: FUNCTION MONETARY-THOUSANDS-SEPARATOR: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1055
cobrun: unsupported: FUNCTION NUMERIC-DECIMAL-POINT: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1056
cobrun: unsupported: FUNCTION NUMERIC-THOUSANDS-SEPARATOR: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1057
cobrun: unsupported: FUNCTION RANDOM: cobc 3.2 does not implement it (a compile-reject) or it is a live-clock/locale/GMP-PRNG non-claim,checker,1,1067
cobrun: unsupported: FUNCTION YEAR-TO-YYYY requires a pinned COB_CURRENT_DATE,checker,1,1102
cobrun: unsupported: INDEXED RECORD KEY `TEST-KEY-2` is not a field of the record,checker,1,0873
cobrun: unsupported: INSPECT REPLACING: unrecognized mode `TRAILING` (expected CHARACTERS/ALL/LEADING/FIRST),checker,1,1213
cobrun: unsupported: INSPECT TALLYING FOR: unrecognized mode `TRAILING` (expected ALL/LEADING/CHARACTERS),checker,1,1212
cobrun: unsupported: INSPECT region clause near Str([50]),checker,1,0719
cobrun: unsupported: INSPECT region clause near Str([66]),checker,1,1214
"cobrun: unsupported: JSON/XML GENERATE NAME: expected `data-name IS ""key""`",checker,1,1225
cobrun: unsupported: MOVE ALL: expected a non-empty literal or figurative,checker,1,0995
cobrun: unsupported: OCCURS count MAX-SUB is not an integer,data-layout,6,0872
cobrun: unsupported: OCCURS max UNBOUNDED is not an integer,data-layout,3,1127
cobrun: unsupported: OPEN: `DATA-FILE` is not a declared file,semantic-check,1,0897
cobrun: unsupported: OPEN: `FILE-EXT` is not a declared file,semantic-check,1,0952
cobrun: unsupported: OPEN: `FILE-OPT` is not a declared file,semantic-check,4,0848
cobrun: unsupported: OPEN: `INFILE` is not a declared file,semantic-check,1,0880
cobrun: unsupported: OPEN: `OUTPUT` is not a declared file,semantic-check,3,0967
"cobrun: unsupported: OPEN: `PAYROLL-REGISTER-DATA,` is not a declared file",semantic-check,1,0965
"cobrun: unsupported: OPEN: `SALES-DATA,` is not a declared file",semantic-check,1,0964
cobrun: unsupported: OPEN: `TEST-FILE` is not a declared file,semantic-check,1,0878
"cobrun: unsupported: OPEN: `TRANSACTION-DATA,` is not a declared file",semantic-check,4,0960
"cobrun: unsupported: PIC $$$$,$$9V99-: UnsupportedSymbol('V')",data-layout,1,0621
cobrun: unsupported: PIC 0XXXXXX: UnsupportedSymbol('X'),data-layout,1,0518
"cobrun: unsupported: PIC 9.9999,99Y: UnsupportedSymbol('Y')",data-layout,1,0533
cobrun: unsupported: PIC 99X99: UnsupportedSymbol('X'),data-layout,1,0875
cobrun: unsupported: PIC : Empty,data-layout,2,0954
cobrun: unsupported: PIC LX(10): UnsupportedSymbol('L'),data-layout,1,1207
cobrun: unsupported: PIC LX(3): UnsupportedSymbol('L'),data-layout,1,1210
cobrun: unsupported: PIC LX(5): UnsupportedSymbol('L'),data-layout,2,1209
cobrun: unsupported: PIC LX(9): UnsupportedSymbol('L'),data-layout,1,1208
cobrun: unsupported: PIC N(9): UnsupportedSymbol('N'),data-layout,1,1030
cobrun: unsupported: PIC VP9: ScalingPDeferred,data-layout,1,0609
cobrun: unsupported: PIC VPP99: ScalingPDeferred,data-layout,2,1222
cobrun: unsupported: PIC VPPP999: ScalingPDeferred,data-layout,2,1248
cobrun: unsupported: RELATIVE file `F` has no RELATIVE KEY,checker,1,0909
cobrun: unsupported: SET ADDRESS UP/DOWN BY: not a numeric index,checker,1,0795
cobrun: unsupported: SET CB TO <value>: target is not a numeric/index item,checker,2,0774
cobrun: unsupported: SET EOF TO FALSE: the 88 has no `WHEN SET TO FALSE` value,checker,1,0901
cobrun: unsupported: SET ERR-PROC-ADDRESS TO <value>: target is not a numeric/index item,checker,1,1186
cobrun: unsupported: SET MYFLD88 TO FALSE: the 88 has no `WHEN SET TO FALSE` value,checker,1,0582
cobrun: unsupported: SET PROGRAM-LINK TO <value>: target is not a numeric/index item,checker,1,0763
cobrun: unsupported: SET: expected `TO` or `UP|DOWN BY` (cobc rejects a SET with neither),checker,1,0636
cobrun: unsupported: SORT: `ROW1` is not a declared file,semantic-check,1,0751
cobrun: unsupported: SORT: `TBL` is not a declared file,semantic-check,3,0749
"cobrun: unsupported: USAGE NATIONAL: cobc 3.2 leaves NATIONAL unfinished (-Wunfinished) -- a non-claim, not a buildable front-end gap",data-layout,1,0996
cobrun: unsupported: WRITE `TWO-RECORD`: not an FD record,checker,1,0882
cobrun: unsupported: a group MOVE is distributed across its leaves by write_field,checker,1,1253
cobrun: unsupported: condition: missing left operand,semantic-check,2,0735
cobrun: unsupported: condition: unrecognized relational operator (expected = > < >= <= <> GREATER LESS EQUAL),semantic-check,3,0624
cobrun: unsupported: expected data name after a level number,checker,2,0641
cobrun: unsupported: expected program name after PROGRAM-ID,grammar,6,0790
cobrun: unsupported: no PROCEDURE DIVISION,checker,9,0691
cobrun: unsupported: not a numeric literal: (2,grammar,1,1096
cobrun: unsupported: not a numeric literal: -,grammar,1,0690
cobrun: unsupported: not a numeric literal: /,grammar,1,1025
"cobrun: unsupported: not a numeric literal: 1,1,1",grammar,1,0669
"cobrun: unsupported: not a numeric literal: 1,23E0",grammar,1,0512
cobrun: unsupported: not a numeric literal: 17:5,grammar,1,1101
